# Category classification table for Municipality raster.
# - the value corresponds to raster data value
# - set colors so that adjacent municipalities have different colors
#value,cityname,color,opacity,fillColor,fillOpacity,weight,label
value,label,color,opacity,fillColor,fillOpacity,weight,label
94,Hugo,#6a00b3,1.0,#6a00b3,0.3,2
95,Inverness CDP,#6a00b3,1.0,#6a00b3,0.3,2
96,Jackson Lake CDP,#6a00b3,1.0,#6a00b3,0.3,2
97,Johnstown,#6a00b3,1.0,#6a00b3,0.3,2
98,Keenesburg,#6a00b3,1.0,#6a00b3,0.3,2
99,Ken Caryl CDP,#6a00b3,1.0,#6a00b3,0.3,2
100,Kersey,#6a00b3,1.0,#6a00b3,0.3,2
101,Kiowa,#6a00b3,1.0,#6a00b3,0.3,2
102,La Junta,#6a00b3,1.0,#6a00b3,0.3,2
103,La Junta Gardens CDP,#6a00b3,1.0,#6a00b3,0.3,2
104,La Salle,#6a00b3,1.0,#6a00b3,0.3,2
105,La Veta,#6a00b3,1.0,#6a00b3,0.3,2
106,Lafayette,#6a00b3,1.0,#6a00b3,0.3,2
107,Lakeside,#6a00b3,1.0,#6a00b3,0.3,2
108,Lakewood,#6a00b3,1.0,#6a00b3,0.3,2
109,Laporte CDP,#6a00b3,1.0,#6a00b3,0.3,2
110,Larkspur,#6a00b3,1.0,#6a00b3,0.3,2
111,Las Animas,#6a00b3,1.0,#6a00b3,0.3,2
112,Leyner CDP,#6a00b3,1.0,#6a00b3,0.3,2
113,Limon,#6a00b3,1.0,#6a00b3,0.3,2
114,Lincoln Park CDP,#6a00b3,1.0,#6a00b3,0.3,2
115,Littleton,#6a00b3,1.0,#6a00b3,0.3,2
116,Lochbuie,#6a00b3,1.0,#6a00b3,0.3,2
117,Log Lane Village,#6a00b3,1.0,#6a00b3,0.3,2
118,Lone Tree,#6a00b3,1.0,#6a00b3,0.3,2
119,Longmont,#6a00b3,1.0,#6a00b3,0.3,2
120,Louisville,#6a00b3,1.0,#6a00b3,0.3,2
121,Louviers CDP,#6a00b3,1.0,#6a00b3,0.3,2
122,Loveland,#6a00b3,1.0,#6a00b3,0.3,2
123,Manitou Springs,#6a00b3,1.0,#6a00b3,0.3,2
124,Manzanola,#6a00b3,1.0,#6a00b3,0.3,2
125,Mead,#6a00b3,1.0,#6a00b3,0.3,2
126,Meridian CDP,#6a00b3,1.0,#6a00b3,0.3,2
127,Merino,#6a00b3,1.0,#6a00b3,0.3,2
128,Milliken,#6a00b3,1.0,#6a00b3,0.3,2
129,Monument,#6a00b3,1.0,#6a00b3,0.3,2
130,Morgan Heights CDP,#6a00b3,1.0,#6a00b3,0.3,2
131,Morrison,#6a00b3,1.0,#6a00b3,0.3,2
132,Mountain View,#6a00b3,1.0,#6a00b3,0.3,2
133,Niwot CDP,#6a00b3,1.0,#6a00b3,0.3,2
134,North La Junta CDP,#6a00b3,1.0,#6a00b3,0.3,2
135,North Washington CDP,#6a00b3,1.0,#6a00b3,0.3,2
136,Northglenn,#6a00b3,1.0,#6a00b3,0.3,2
137,Nunn,#6a00b3,1.0,#6a00b3,0.3,2
138,Olney Springs,#6a00b3,1.0,#6a00b3,0.3,2
139,Orchard CDP,#6a00b3,1.0,#6a00b3,0.3,2
140,Ordway,#6a00b3,1.0,#6a00b3,0.3,2
141,Padroni CDP,#6a00b3,1.0,#6a00b3,0.3,2
142,Palmer Lake,#6a00b3,1.0,#6a00b3,0.3,2
143,Paragon Estates CDP,#6a00b3,1.0,#6a00b3,0.3,2
144,Parker,#6a00b3,1.0,#6a00b3,0.3,2
145,Penrose CDP,#6a00b3,1.0,#6a00b3,0.3,2
146,Peoria CDP,#6a00b3,1.0,#6a00b3,0.3,2
147,Perry Park CDP,#6a00b3,1.0,#6a00b3,0.3,2
148,Peyton CDP,#6a00b3,1.0,#6a00b3,0.3,2
149,Pierce,#6a00b3,1.0,#6a00b3,0.3,2
150,Platteville,#6a00b3,1.0,#6a00b3,0.3,2
151,Ponderosa Park CDP,#6a00b3,1.0,#6a00b3,0.3,2
152,Pueblo,#6a00b3,1.0,#6a00b3,0.3,2
153,Pueblo West CDP,#6a00b3,1.0,#6a00b3,0.3,2
154,Ramah,#6a00b3,1.0,#6a00b3,0.3,2
